Altium Designer Pick and Place Locations
C:\Applications\hardware\pca20054\trunk\production_files\400503_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       24-02-20
Time:       10:42
Revision:   17888
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","SMA Vertical","BottomLayer","CON_SMA_COAX_FEM_STRAIGHT_5P_1","99.7600","141.9900","180","SMA Vertical connector"
"L316","2.4nH","TopLayer","INDC1005X04L","63.0537","144.3943","135","Inductor, 220mA, ±0.1nH"
"L315","2.4nH","TopLayer","INDC1005X04L","54.7566","143.1943","45","Inductor, 220mA, ±0.1nH"
"L314","2.4nH","TopLayer","INDC1005X04L","54.7495","137.6629","315","Inductor, 220mA, ±0.1nH"
"L313","2.4nH","TopLayer","INDC1005X04L","55.6057","63.0537","225","Inductor, 220mA, ±0.1nH"
"L312","2.4nH","TopLayer","INDC1005X04L","56.8057","54.7566","135","Inductor, 220mA, ±0.1nH"
"L311","2.4nH","TopLayer","INDC1005X04L","62.3371","54.7495","45","Inductor, 220mA, ±0.1nH"
"L310","2.4nH","TopLayer","INDC1005X04L","136.9463","55.6057","315","Inductor, 220mA, ±0.1nH"
"L309","2.4nH","TopLayer","INDC1005X04L","145.2434","56.8057","225","Inductor, 220mA, ±0.1nH"
"L308","2.4nH","TopLayer","INDC1005X04L","145.2505","62.3371","135","Inductor, 220mA, ±0.1nH"
"L307","2.4nH","TopLayer","INDC1005X04L","144.3943","136.9463","45","Inductor, 220mA, ±0.1nH"
"L306","2.4nH","TopLayer","INDC1005X04L","143.1943","145.2434","315","Inductor, 220mA, ±0.1nH"
"L305","2.4nH","TopLayer","INDC1005X04L","137.6629","145.2505","225","Inductor, 220mA, ±0.1nH"
"C341","10nF","TopLayer","CAPC1005X04L","66.4423","148.5074","45","Capacitor, X7R, ±10%"
"C340","10nF","TopLayer","CAPC1005X04L","51.3147","147.3811","135","Capacitor, X7R, ±10%"
"C339","10nF","TopLayer","CAPC1005X04L","51.3398","133.5066","225","Capacitor, X7R, ±10%"
"C338","10nF","TopLayer","CAPC1005X04L","51.4926","66.4423","135","Capacitor, X7R, ±10%"
"C337","10nF","TopLayer","CAPC1005X04L","52.6189","51.3147","225","Capacitor, X7R, ±10%"
"C336","10nF","TopLayer","CAPC1005X04L","66.4934","51.3398","315","Capacitor, X7R, ±10%"
"C335","10nF","TopLayer","CAPC1005X04L","133.5577","51.4926","225","Capacitor, X7R, ±10%"
"C334","10nF","TopLayer","CAPC1005X04L","148.6852","52.6189","315","Capacitor, X7R, ±10%"
"C333","10nF","TopLayer","CAPC1005X04L","148.6601","66.4933","45","Capacitor, X7R, ±10%"
"C332","10nF","TopLayer","CAPC1005X04L","148.5074","133.5577","315","Capacitor, X7R, ±10%"
"C331","10nF","TopLayer","CAPC1005X04L","147.3811","148.6853","45","Capacitor, X7R, ±10%"
"C330","10nF","TopLayer","CAPC1005X04L","133.4897","148.6847","135","Capacitor, X7R, ±10%"
"R508","0R","BottomLayer","RESC1005X04L","120.1700","79.2777","180","Resistor, ±5%, 0.063W"
"R507","N.C.","TopLayer","RESC1005X04L_NC","99.2700","103.2777","360","Not mounted"
"R506","N.C.","TopLayer","RESC1005X04L_NC","99.2700","106.0777","360","Not mounted"
"R505","0R","TopLayer","RESC1005X04L","99.7700","104.6777","270","Resistor, ±5%, 0.063W"
"R352","100R","BottomLayer","RESC1005X04L","91.2700","81.0777","360","Resistor, ±1%, 0.063W"
"R351","100R","BottomLayer","RESC1005X04L","93.5700","81.0777","180","Resistor, ±1%, 0.063W"
"R350","100R","BottomLayer","RESC1005X04L","96.3700","70.7777","360","Resistor, ±1%, 0.063W"
"R349","100R","BottomLayer","RESC1005X04L","98.6700","70.7777","180","Resistor, ±1%, 0.063W"
"C329","18pF","BottomLayer","CAPC1005X04L","98.6700","69.8777","180","Capacitor, NP0, ±5%"
"C328","18pF","BottomLayer","CAPC1005X04L","96.3700","69.8777","360","Capacitor, NP0, ±5%"
"C327","18pF","BottomLayer","CAPC1005X04L","93.5700","81.9777","180","Capacitor, NP0, ±5%"
"C326","18pF","BottomLayer","CAPC1005X04L","91.2700","81.9777","360","Capacitor, NP0, ±5%"
"C308","100pF","BottomLayer","CAPC1005X04L","142.8700","63.0777","315","Capacitor, NP0, ±5%"
"R504","1M0","BottomLayer","RESC1005X04L","91.2700","80.0777","180","Resistor, ±1%, 0.063W"
"R503","1M0","BottomLayer","RESC1005X04L","93.5700","80.0777","360","Resistor, ±1%, 0.063W"
"R502","1M0","BottomLayer","RESC1005X04L","96.3700","71.6777","180","Resistor, ±1%, 0.063W"
"R501","1M0","BottomLayer","RESC1005X04L","98.6700","71.6777","360","Resistor, ±1%, 0.063W"
"R406","10k","BottomLayer","RESC1005X04L","122.8700","81.3777","360","Resistor, ±1%, 0.063W"
"R405","0R","BottomLayer","RESC1005X04L","120.8700","86.8777","180","Resistor, ±5%, 0.063W"
"R401","0R","BottomLayer","RESC1005X04L","120.7700","80.3777","360","Resistor, ±5%, 0.063W"
"L501","30nH","TopLayer","INDC1005X04L_WW","99.2700","134.2777","360","Inductor, 270mA, ±2%, 580mO, Q=25"
"C502","10nF","TopLayer","CAPC1005X04L","99.7700","135.9777","90","Capacitor, X7R, ±10%"
"C325","N.C.","BottomLayer","CAPC1005X04L_NC","60.9700","137.2777","45","Not mounted"
"C324","N.C.","BottomLayer","CAPC1005X04L_NC","57.7700","137.5777","135","Not mounted"
"C323","N.C.","BottomLayer","CAPC1005X04L_NC","62.7700","60.9777","135","Not mounted"
"C322","N.C.","BottomLayer","CAPC1005X04L_NC","62.3700","57.6777","225","Not mounted"
"C321","N.C.","BottomLayer","CAPC1005X04L_NC","101.6700","103.5777","180","Not mounted"
"C320","N.C.","BottomLayer","CAPC1005X04L_NC","103.7700","102.4777","180","Not mounted"
"C319","N.C.","BottomLayer","CAPC1005X04L_NC","139.0777","62.8300","225","Not mounted"
"C318","N.C.","BottomLayer","CAPC1005X04L_NC","142.1700","62.3777","315","Not mounted"
"C317","N.C.","BottomLayer","CAPC1005X04L_NC","137.1700","138.9777","315","Not mounted"
"C316","N.C.","BottomLayer","CAPC1005X04L_NC","137.5700","142.2777","45","Not mounted"
"R348","N.C.","TopLayer","RESC1005X04L_NC","62.4700","138.5777","225","Not mounted"
"R347","N.C.","TopLayer","RESC1005X04L_NC","97.0700","98.7777","90","Not mounted"
"R346","N.C.","TopLayer","RESC1005X04L_NC","61.4700","62.4777","315","Not mounted"
"R345","N.C.","TopLayer","RESC1005X04L_NC","98.6700","97.0777","360","Not mounted"
"R344","N.C.","TopLayer","RESC1005X04L_NC","137.4700","61.4777","45","Not mounted"
"R343","N.C.","TopLayer","RESC1005X04L_NC","101.2700","97.0777","180","Not mounted"
"R342","N.C.","TopLayer","RESC1005X04L_NC","138.5700","137.4777","135","Not mounted"
"R341","N.C.","TopLayer","RESC1005X04L_NC","102.8700","98.7777","90","Not mounted"
"L304","0.5nH","TopLayer","INDC1005X04L","63.1700","137.1777","135","Inductor, 1A, ±0.1nH"
"L303","0.5nH","TopLayer","INDC1005X04L","62.8700","63.1777","225","Inductor, 1A, ±0.1nH"
"L302","0.5nH","TopLayer","INDC1005X04L","136.7700","62.8777","315","Inductor, 1A, ±0.1nH"
"L301","0.5nH","TopLayer","INDC1005X04L","137.2700","136.8777","45","Inductor, 1A, ±0.1nH"
"C501","1.0µF","BottomLayer","CAPC1608X06L","122.2700","79.2777","180","Capacitor, X7R, ±10%"
"V505","LXES15AAA1-133","TopLayer","RESC1005X04L","99.2700","137.6777","180","TVS DIODE 15VWM 0402"
"V504","LXES15AAA1-133","BottomLayer","RESC1005X04L","91.2700","79.1777","360","TVS DIODE 15VWM 0402"
"V503","LXES15AAA1-133","BottomLayer","RESC1005X04L","93.5700","79.1777","180","TVS DIODE 15VWM 0402"
"V502","LXES15AAA1-133","BottomLayer","RESC1005X04L","96.3700","72.5777","360","TVS DIODE 15VWM 0402"
